airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,2,59145
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,2,59145
Vistara,UK-977,Delhi,Evening,one,Night,Hyderabad,Business,25.92,2,59145
Vistara,UK-955,Delhi,Evening,one,Night,Hyderabad,Business,27.17,2,59145
Vistara,UK-963,Delhi,Morning,one,Afternoon,Hyderabad,Business,27.42,2,59145
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,2,64745
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,2,64745
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,2,68105
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,2,68105
Vistara,UK-673,Delhi,Afternoon,two_or_more,Night,Hyderabad,Business,7.58,2,72731
Vistara,UK-673,Delhi,Afternoon,two_or_more,Afternoon,Hyderabad,Business,22.92,2,72731
Vistara,UK-737,Delhi,Afternoon,two_or_more,Night,Hyderabad,Business,29.0,2,96587
Vistara,UK-707,Delhi,Evening,two_or_more,Night,Hyderabad,Business,27.42,2,114507
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,3,26296
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,3,26296
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,3,26296
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,3,26296
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,3,26296
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,3,44585
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,3,47329
Vistara,UK-953,Delhi,Night,one,Night,Hyderabad,Business,24.25,3,47329
Vistara,UK-945,Delhi,Morning,one,Afternoon,Hyderabad,Business,24.58,3,49681
Vistara,UK-927,Delhi,Morning,one,Afternoon,Hyderabad,Business,26.75,3,49681
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,3,51305
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,3,51305
Vistara,UK-995,Delhi,Morning,one,Afternoon,Hyderabad,Business,25.92,3,55281
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,3,56905
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,3,57521
Vistara,UK-977,Delhi,Evening,one,Night,Hyderabad,Business,25.92,3,57521
Vistara,UK-963,Delhi,Morning,one,Afternoon,Hyderabad,Business,27.42,3,57521
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,3,59145
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,3,61889
Vistara,UK-955,Delhi,Evening,one,Night,Hyderabad,Business,27.17,3,61889
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,3,63121
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,3,63121
Vistara,UK-933,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,20.75,3,68721
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,3,70345
Vistara,UK-673,Delhi,Afternoon,two_or_more,Afternoon,Hyderabad,Business,22.92,3,71107
Vistara,UK-673,Delhi,Afternoon,two_or_more,Night,Hyderabad,Business,7.58,3,72731
Vistara,UK-707,Delhi,Evening,two_or_more,Night,Hyderabad,Business,27.42,3,88019
Vistara,UK-705,Delhi,Early_Morning,two_or_more,Night,Hyderabad,Business,14.42,3,104987
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,4,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,4,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,4,24056
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,4,38470
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,4,51697
Vistara,UK-995,Delhi,Morning,one,Afternoon,Hyderabad,Business,25.92,4,51697
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,4,53937
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,4,53937
Vistara,UK-955,Delhi,Evening,one,Night,Hyderabad,Business,27.17,4,53937
Vistara,UK-963,Delhi,Morning,one,Afternoon,Hyderabad,Business,27.42,4,53937
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,4,54273
Vistara,UK-951,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,21.92,4,54273
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,4,55572
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,4,57812
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,4,57812
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,4,58148
Vistara,UK-673,Delhi,Afternoon,two_or_more,Night,Hyderabad,Business,7.58,4,61307
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,4,61553
Vistara,UK-945,Delhi,Morning,one,Afternoon,Hyderabad,Business,24.58,4,61553
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,4,62561
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,4,65428
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,4,66436
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,4,66481
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,4,67489
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,4,67489
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,4,68721
Vistara,UK-927,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.33,4,70356
Vistara,UK-707,Delhi,Evening,two_or_more,Early_Morning,Hyderabad,Business,14.33,4,81814
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,5,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,5,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,5,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,5,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,5,24056
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,5,39377
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,5,39377
Vistara,UK-951,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,21.92,5,39377
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,5,46097
Vistara,UK-927,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.33,5,46097
Vistara,UK-927,Delhi,Morning,one,Afternoon,Hyderabad,Business,26.75,5,46097
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,5,51697
Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,6.5,5,51697
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,5,51697
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,5,51697
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,5,51697
Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Business,15.17,5,51697
Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,16.33,5,51697
Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,5,51697
Vistara,UK-933,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,20.75,5,51697
Vistara,UK-981,Delhi,Night,one,Night,Hyderabad,Business,23.08,5,51697
Vistara,UK-993,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,23.42,5,51697
Vistara,UK-975,Delhi,Early_Morning,one,Early_Morning,Hyderabad,Business,26.08,5,51697
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,5,53937
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,5,53937
Vistara,UK-943,Delhi,Early_Morning,one,Early_Morning,Hyderabad,Business,24.33,5,53937
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,5,54273
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,5,54273
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,5,61889
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.83,5,61889
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,5,61889
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,5,61889
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,5,63793
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,5,63793
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,5,66481
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,5,66481
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,5,68721
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,5,68721
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,5,70513
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,5,70513
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.0,5,75441
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,5,75441
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,6,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,6,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,6,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,6,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,6,24056
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,6,39377
Vistara,UK-953,Delhi,Night,one,Night,Hyderabad,Business,24.25,6,39377
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,6,43252
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,6,46097
Vistara,UK-945,Delhi,Morning,one,Afternoon,Hyderabad,Business,24.58,6,46097
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,6,47217
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,6,47329
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,6,49972
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,6,51092
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,6,51204
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,6,51697
Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,6.5,6,51697
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,6,51697
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,6,51697
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,6,51697
Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Business,15.17,6,51697
Vistara,UK-933,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,20.75,6,51697
Vistara,UK-981,Delhi,Night,one,Night,Hyderabad,Business,23.08,6,51697
Vistara,UK-993,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,23.42,6,51697
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,6,53937
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,6,53937
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,6,53937
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,6,53937
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,6,55572
Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,16.33,6,55572
Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,6,55572
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,6,55572
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,6,57812
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,6,57812
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,6,59537
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,6,59537
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,6,66481
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,7,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,7,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,7,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,7,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,7,30630
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,7,46097
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,7,46097
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,7,47217
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,7,47217
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,7,47329
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,7,47329
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,7,47329
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,7,47329
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,7,51697
Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,6.5,7,51697
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,7,51697
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,7,51697
Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Business,15.17,7,51697
Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,16.33,7,51697
Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,7,51697
Vistara,UK-933,Delhi,Afternoon,one,Afternoon,Hyderabad,Business,20.75,7,51697
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,7,51697
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,7,53937
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,7,53937
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,7,53937
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,7,53937
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,7,53937
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,7,53937
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.0,7,59537
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,7,59537
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,7,59649
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,7,59649
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,7,61553
Vistara,UK-927,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.33,7,61553
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.83,7,61889
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,7,61889
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,8,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,8,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,8,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,8,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,8,24056
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,8,39377
Vistara,UK-953,Delhi,Night,one,Night,Hyderabad,Business,24.25,8,39377
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,8,43252
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,8,47217
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,8,51092
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,8,51697
Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,6.5,8,51697
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,8,51697
Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Business,15.17,8,51697
Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,16.33,8,51697
Vistara,UK-981,Delhi,Night,one,Night,Hyderabad,Business,23.08,8,51697
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,8,53937
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,8,53937
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,8,53937
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,8,53937
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,8,53937
Vistara,UK-943,Delhi,Early_Morning,one,Early_Morning,Hyderabad,Business,24.33,8,53937
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,8,54049
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,8,54049
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,8,55572
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,8,57812
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.0,8,59537
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,8,59649
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,8,59649
Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,8,59649
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,8,59649
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.83,8,61889
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,8,66481
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,9,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,9,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,9,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,9,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,9,24056
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,9,39377
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,9,39377
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,9,39377
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,9,39377
Vistara,UK-945,Delhi,Morning,one,Night,Hyderabad,Business,9.25,9,46097
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,9,46097
Vistara,UK-945,Delhi,Morning,one,Early_Morning,Hyderabad,Business,20.17,9,46097
Vistara,UK-927,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.33,9,46097
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,9,47217
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,9,47217
Vistara,UK-933,Delhi,Afternoon,one,Night,Hyderabad,Business,5.42,9,51697
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,9,51697
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,9,51697
Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Business,15.17,9,51697
Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,16.33,9,51697
Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,9,51697
Vistara,UK-995,Delhi,Morning,one,Early_Morning,Hyderabad,Business,21.5,9,51697
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,9,53937
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.83,9,53937
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,9,53937
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,9,53937
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,9,53937
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,9,53937
Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,6.5,9,55572
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.0,9,59537
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,9,59537
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,9,59649
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,9,59649
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,9,61889
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,9,65764
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,10,24056
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,10,24056
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,10,24056
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,10,24056
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,10,24056
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Business,11.42,10,46097
Vistara,UK-927,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.33,10,46097
Vistara,UK-953,Delhi,Night,one,Early_Morning,Hyderabad,Business,11.17,10,47329
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,10,47329
Vistara,UK-981,Delhi,Night,one,Early_Morning,Hyderabad,Business,10.0,10,51697
Vistara,UK-981,Delhi,Night,one,Afternoon,Hyderabad,Business,14.42,10,51697
Vistara,UK-981,Delhi,Night,one,Night,Hyderabad,Business,23.08,10,51697
Vistara,UK-943,Delhi,Early_Morning,one,Afternoon,Hyderabad,Business,4.75,10,53937
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,10,53937
Vistara,UK-977,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.83,10,53937
Vistara,UK-943,Delhi,Early_Morning,one,Night,Hyderabad,Business,13.42,10,53937
Vistara,UK-955,Delhi,Evening,one,Early_Morning,Hyderabad,Business,14.08,10,53937
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,10,53937
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,10,53937
Vistara,UK-963,Delhi,Morning,one,Early_Morning,Hyderabad,Business,23.0,10,53937
Vistara,UK-943,Delhi,Early_Morning,one,Early_Morning,Hyderabad,Business,24.33,10,53937
Vistara,UK-977,Delhi,Evening,one,Night,Hyderabad,Business,25.92,10,53937
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,10,54273
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,17.5,10,54273
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.08,10,55169
Vistara,UK-941,Delhi,Evening,one,Afternoon,Hyderabad,Business,19.5,10,55169
Vistara,UK-985,Delhi,Evening,one,Early_Morning,Hyderabad,Business,12.0,10,59537
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,10,59537
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,10,59537
